experiment_type,model,model_size,model_category,model_params,prompt_type,phase,f1_score
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6839
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5639
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6808
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7336
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4983
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6488
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.8114
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5761
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.7261
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.129
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.5328
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.3863
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4124
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.207
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4678
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4444
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.547
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4138
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.6578
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.5852
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.2482
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.7889
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.2133
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.2139
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.1276
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.3493
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.7375
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.6826
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.544
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.3967
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4568
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4415
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.5374
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.259
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4213
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.5739
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.8062
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.2446
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.3224
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5967
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5211
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.752
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5971
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.6337
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5503
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.481
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.643
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.4158
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.7139
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.6943
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5359
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.8078
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5935
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.1324
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.4065
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5895
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.7589
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5836
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.608
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5936
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5298
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.7404
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.6075
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.2663
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.564
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.662
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.8204
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.4638
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6551
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7824
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.843
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6666
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.8332
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4865
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6819
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5145
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7942
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7216
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7919
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.713
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6583
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7006
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6284
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.597
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5279
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6656
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7292
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6527
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6603
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5333
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7921
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.3028
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6201
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7155
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.2028
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.8417
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6415
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5579
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.7356
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1434
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4743
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5024
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5928
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.522
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.6001
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4328
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.8047
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5526
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4258
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.2346
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.6879
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1819
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1841
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6066
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.706
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.2187
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.359
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7918
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6523
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.64
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6758
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.8479
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7791
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7362
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5864
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5889
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5841
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5622
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4285
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2489
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4486
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.7441
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.1455
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4202
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4723
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2312
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.581
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.5295
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.5894
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.6162
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.7059
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.8118
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2141
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.7219
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.7757
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.7902
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.612
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.6532
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.8488
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.7076
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.1909
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.6539
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.5692
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.5279
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.3478
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.7103
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.6712
SD,mistral_24b,24B,Large,24,knowledge_infused,Base (Non Fine-Tuned),0.5431
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.6336
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.5522
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.5645
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.7432
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.6134
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.4783
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.2184
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.2721
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.778
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.6116
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.488
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.571
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.6184
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.4214
SD,llama3_8b,8B,Medium,8,cot_knowledge,Base (Non Fine-Tuned),0.568
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6169
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5702
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7491
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7075
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5954
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7646
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6298
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.8193
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4233
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6413
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4634
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5795
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6369
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5137
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6722
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.5934
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.1671
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.7048
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.4473
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.4953
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.7693
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.3972
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.2475
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.4248
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.4951
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.5095
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.3662
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.4331
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.1667
SD,llama3_8b,8B,Medium,8,cot,Base (Non Fine-Tuned),0.2787
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6431
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.2868
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.5206
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.7664
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.775
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6057
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6044
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.5756
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.4819
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.8173
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.5995
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.3766
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6089
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.4372
SD,llama3_8b,8B,Medium,8,few_shot,Base (Non Fine-Tuned),0.6053
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.2317
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5842
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5411
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.7457
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5651
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.6578
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.5016
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.7003
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.6369
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.6067
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.2416
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.6624
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.7979
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.6113
SD,llama3_8b,8B,Medium,8,knowledge_infused,Base (Non Fine-Tuned),0.4521
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.6816
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.1386
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.4836
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.4427
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.6057
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.3663
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.4308
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.5263
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.5079
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.4044
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.7678
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.5199
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.2373
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.2746
SD,llama3_8b,8B,Medium,8,vanilla,Base (Non Fine-Tuned),0.1871
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6798
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4941
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.3893
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5212
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.748
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7873
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6866
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5294
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5898
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5885
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5206
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6855
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.3169
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.3686
SD,phi,3B,Small,3,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5888
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.5551
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.535
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.7135
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.1669
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.6359
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.5394
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.5173
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.61
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.5589
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.7901
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.3
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4825
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.6146
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.2108
SD,phi,3B,Small,3,cot_knowledge,Base (Non Fine-Tuned),0.4322
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.1706
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.4526
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.6882
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.6164
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.4539
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.4187
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.4768
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.4497
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.5107
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.7784
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.368
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.27
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.3698
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.2742
SD,phi,3B,Small,3,cot,Base (Non Fine-Tuned),0.1216
SD,phi,3B,Small,3,few_shot,Base (Non Fine-Tuned),0.2716
